Samples	CN1	CN2	CN3	CN4	CN5	CN6	CN7	CN8	CN9	CN10	CN11	CN12	CN13	CN14	CN15	CN16	CN17	CN18	CN19	CN20	CN21	CN22	CN23	CN24	CN25
TCGA-E1-5304	0	0	0	225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	315	0	0	0	0	0
TCGA-E1-5305	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0
TCGA-E1-5307	37	0	0	0	0	0	0	0	93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-E1-5322	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	0	0
TCGA-E1-A7YE	0	0	0	0	0	0	0	0	280	0	0	0	0	0	0	0	0	0	0	0	0	0	0	298	0
TCGA-E1-A7YH	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0
TCGA-E1-A7YI	33	0	0	0	0	0	0	0	76	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0
TCGA-E1-A7YK	0	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82	0	0	0	0	0
TCGA-E1-A7YU	34	0	0	0	0	19	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0
TCGA-E1-A7YV	0	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0
TCGA-E1-A7YW	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81	0	0
TCGA-E1-A7Z3	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91	0	38	46	0
TCGA-E1-A7Z4	0	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0
TCGA-E1-A7Z6	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0
TCGA-F6-A8O4	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85	0	0
TCGA-FG-5965	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-FG-6689	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0
TCGA-FG-6690	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	33	0	0
TCGA-FG-6691	43	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0
TCGA-FG-7636	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	29	0	0	0	0
TCGA-FG-8182	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94	0	0	0
TCGA-FG-8185	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	55	0	0
TCGA-FG-8188	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0
TCGA-FG-8191	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	0	0	0	0	0
TCGA-FG-A4MT	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0
TCGA-FG-A4MX	0	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0
TCGA-FG-A4MY	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	55	0	0
TCGA-FG-A60J	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67	0	57	0	0
TCGA-FG-A60L	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0
TCGA-FG-A6J3	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	89	0	0	71	0	0	0	0	0
TCGA-FG-A70Y	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	23	0	32	0	0
TCGA-FG-A711	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	0	0
TCGA-FG-A87N	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99	0	0
TCGA-FN-7833	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0
TCGA-HT-7470	40	0	0	0	0	0	0	0	77	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0
